"충전소명",충전소위치상세,설치시도명,휴점일,이용가능시작시각,이용가능종료시각,완속충전가능여부,급속충전가능여부,급속충전타입구분,완속충전기대수,급속충전기대수,주차료부과여부,소재지도로명주소,소재지지번주소,관리업체명,관리업체전화번호,위도,경도,데이터기준일자
"감사위원회",주차장,제주특별자치도,연중무휴,00:00,23:59,Y,N,,3,0,N,제주특별자치도 서귀포시 신중로 37(법환동),,제주특별자치도,1899-8852,33.25602698,126.5095663,2019-06-30
"대륜동문화복지센터",주차장,제주특별자치도,연중무휴,00:00,23:59,N,Y,AC3상+DC차데모 +DC콤보,0,1,N,제주특별자치도 서귀포시 서호남로 10(법환동),,제주특별자치도,1899-8852,33.25017414,126.5133719,2019-06-30
"대륜동주민센터",주차장,제주특별자치도,연중무휴,00:00,23:59,Y,N,,1,0,N,제주특별자치도 서귀포시 일주동로 9185(법환동),,제주특별자치도,1899-8852,33.2481892,126.5111853,2019-06-30
"대륜동주민센터",주차장,제주특별자치도,연중무휴,00:00,23:59,N,Y,AC3상+DC차데모 +DC콤보,0,1,N,제주특별자치도 서귀포시 일주동로 9185(법환동),,환경부(한국자동차환경협회),1661-9408,33.2481892,126.5111853,2019-06-30
"서귀포소방서",주차장,제주특별자치도,연중무휴,00:00,23:59,Y,Y,AC3상+DC차데모 +DC콤보,1,2,N,제주특별자치도 서귀포시 서호남로 20(법환동),,제주특별자치도,1899-8852,33.2513091,126.5665175,2019-06-30
"서귀포시청2청사",주차장,제주특별자치도,연중무휴,00:00,23:59,Y,Y,AC3상+DC차데모 +DC콤보,7,2,N,제주특별자치도 서귀포시 신중로 55(법환동),,제주특별자치도,1899-8852,33.25557995,126.510526,2019-06-30
"월드컵경기장",주차장,제주특별자치도,연중무휴,00:00,23:59,N,Y,AC3상+DC차데모 +DC콤보,0,1,N,제주특별자치도 서귀포시 월드컵로 33,,제주특별자치도,1899-8852,33.24621974,126.5092777,2019-06-30
"치유의숲",주차장,제주특별자치도,연중무휴,00:00,23:59,Y,N,,2,0,N,제주특별자치도 서귀포시 산록남로 2271,,제주특별자치도,1899-8852,33.29193935,126.5279042,2019-06-30
"강정보건지소",주차장,제주특별자치도,연중무휴,00:00,23:59,N,Y,AC3상+DC차데모 +DC콤보,0,1,N,제주특별자치도 서귀포시 강정통물로 125-11,,제주특별자치도,1899-8852,33.2381279,126.4758905,2019-06-30
"농업기술원",주차장,제주특별자치도,연중무휴,00:00,23:59,Y,N,,3,0,N,제주특별자치도 서귀포시 중산간서로 212(강정동),,제주특별자치도,1899-8852,33.2613191,126.4890452,2019-06-30
"농업기술원",주차장,제주특별자치도,연중무휴,00:00,23:59,N,Y,AC3상+DC차데모,0,1,N,제주특별자치도 서귀포시 중산간서로 212(강정동),,환경부(한국자동차환경협회),1661-9408,33.2613191,126.4890452,2019-06-30
"대천동주민센터",주차장,제주특별자치도,연중무휴,00:00,23:59,Y,N,,1,0,N,제주특별자치도 서귀포시 도순로 44,,제주특별자치도,1899-8852,33.2507866,126.477585,2019-06-30
"대천동주민센터",주차장,제주특별자치도,연중무휴,00:00,23:59,N,Y,AC3상+DC차데모 +DC콤보,0,1,N,제주특별자치도 서귀포시 도순로 44,,한국전력,1899-2100,33.2507866,126.477585,2019-06-30
"동홍119센터",주차장,제주특별자치도,연중무휴,00:00,23:59,Y,N,,1,0,N,제주특별자치도 서귀포시 동홍로 31-7(동홍동),,제주특별자치도,1899-8852,33.25169148,126.5667351,2019-06-30
"동홍동주민센터",주차장,제주특별자치도,연중무휴,00:00,23:59,Y,N,,1,0,N,제주특별자치도 서귀포시 동홍로 104(동홍동),,제주특별자치도,1899-8852,33.2578824,126.5689267,2019-06-30
"동홍동주민센터",주차장,제주특별자치도,연중무휴,00:00,23:59,N,Y,AC3상+DC차데모 +DC콤보,0,1,N,제주특별자치도 서귀포시 동홍로 104(동홍동),,환경부(한국자동차환경협회),1661-9408,33.2578824,126.5689267,2019-06-30
"동홍주공5단지",주차장,제주특별자치도,연중무휴,00:00,23:59,N,Y,AC3상+DC차데모 +DC콤보,0,4,N,제주특별자치도 서귀포시 중산간동로 8002(동홍동),,제주특별자치도,1899-8852,33.2655963,126.5619494,2019-06-30
"서귀포시노인복지회관",주차장,제주특별자치도,연중무휴,00:00,23:59,Y,N,,1,0,N,제주특별자치도 서귀포시 태평로537번길 40-9(동홍동),,제주특별자치도,1899-8852,33.25398814,126.5706943,2019-06-30
"서귀포테니스장",주차장,제주특별자치도,연중무휴,00:00,23:59,N,Y,AC3상+DC차데모 +DC콤보,0,2,N,제주특별자치도 서귀포시 동홍로 99번길 36,,제주특별자치도,1899-8852,33.25759736,126.5642119,2019-06-30
"서귀포수협수산물직매장",주차장,제주특별자치도,연중무휴,00:00,23:59,Y,N,,1,0,N,제주특별자치도 서귀포시 칠십리로72번길 1(서귀동),,제주특별자치도,1899-8852,33.2395684,126.5644185,2019-06-30
"송산동주민센터",주차장,제주특별자치도,연중무휴,00:00,23:59,Y,N,,1,0,N,제주특별자치도 서귀포시 소암로 4(서귀동),,제주특별자치도,1899-8852,33.2450378,126.5661672,2019-06-30
"자치경찰단서귀포지역대청사",주차장,제주특별자치도,연중무휴,00:00,23:59,Y,N,,2,0,N,제주특별자치도 서귀포시 부두로 1(서귀동),,제주특별자치도,1899-8852,33.2450723,126.5658726,2019-06-30
"자치경찰단서귀포지역대청사",주차장,제주특별자치도,연중무휴,00:00,23:59,N,Y,AC3상+DC차데모 +DC콤보,0,1,N,제주특별자치도 서귀포시 부두로 1(서귀동),,환경부(한국자동차환경협회),1661-9408,33.2450723,126.5658726,2019-06-30
"정방동공영주차장",주차장,제주특별자치도,연중무휴,00:00,23:59,N,Y,AC3상+DC차데모 +DC콤보,0,2,N,제주특별자치도 서귀포시 서귀동 403-3,제주특별자치도 서귀포시 서귀동 403-3,제주특별자치도,1899-8852,33.247828,126.5631604,2019-06-30
"정방동주민센터",주차장,제주특별자치도,연중무휴,00:00,23:59,Y,N,,1,0,N,제주특별자치도 서귀포시 태평로421번길 7(서귀동),,제주특별자치도,1899-8852,33.2458588,126.5652696,2019-06-30
"걸매축구장",주차장,제주특별자치도,연중무휴,00:00,23:59,N,Y,AC3상+DC차데모 +DC콤보,0,2,N,제주특별자치도 서귀포시 서홍로 4-26(서홍동),,제주특별자치도,1899-8852,33.2493324,126.5545758,2019-06-30
"삼매봉도서관",주차장,제주특별자치도,연중무휴,00:00,23:59,Y,N,,1,0,N,제주특별자치도 서귀포시 남성중로153번길 15,,제주특별자치도,1899-8852,33.2446568,126.5517975,2019-06-30
"삼매봉도서관",주차장,제주특별자치도,연중무휴,00:00,23:59,N,Y,AC3상+DC차데모 +DC콤보,0,1,N,제주특별자치도 서귀포시 남성중로153번길 15,,환경부(한국자동차환경협회),1661-9408,33.2446568,126.5517975,2019-06-30
"서귀포보건소",주차장,제주특별자치도,연중무휴,00:00,23:59,Y,N,,8,0,N,제주특별자치도 서귀포시 중앙로101번길 52(서홍동),,제주특별자치도,1899-8852,33.2534258,126.5553625,2019-06-30
"서귀포시청 1청사",주차장,제주특별자치도,연중무휴,00:00,23:59,Y,Y,AC3상+DC차데모 +DC콤보,11,2,Y,제주특별자치도 서귀포시 중앙로 105(서홍동),,제주특별자치도,1899-8852,33.2540922,126.5601945,2019-06-30
"서귀포시청 1청사",주차장,제주특별자치도,연중무휴,00:00,23:59,N,Y,AC3상+DC차데모 +DC콤보,0,1,Y,제주특별자치도 서귀포시 중앙로 105(서홍동),,환경부(한국자동차환경협회),1661-9408,33.2540922,126.5601945,2019-06-30
"서귀포예술의전당",주차장,제주특별자치도,연중무휴,00:00,23:59,Y,Y,AC3상+DC차데모 +DC콤보,1,1,N,제주특별자치도 서귀포시 태평로 270(서홍동),,제주특별자치도,1899-8852,33.24633333,126.5507905,2019-06-30
"서귀포예술의전당",주차장,제주특별자치도,연중무휴,00:00,23:59,N,Y,AC3상+DC차데모 +DC콤보,0,1,N,제주특별자치도 서귀포시 태평로 270(서홍동),,환경부(한국자동차환경협회),1661-9408,33.24633333,126.5507905,2019-06-30
"서홍동주민센터",주차장,제주특별자치도,연중무휴,00:00,23:59,Y,N,,1,0,N,제주특별자치도 서귀포시 중앙로 125,제주특별자치도 서귀포시 서홍동 397-24,제주특별자치도,1899-8852,33.2558577,126.5602063,2019-06-30
"천지연폭포 주차장",주차장,제주특별자치도,연중무휴,00:00,23:59,Y,N,,1,0,N,제주특별자치도 서귀포시 남성중로 2-15(서홍동),,제주특별자치도,1899-8852,33.2447447,126.5597544,2019-06-30
"천지연폭포 주차장",주차장,제주특별자치도,연중무휴,00:00,23:59,N,Y,AC3상+DC차데모 +DC콤보,0,3,N,제주특별자치도 서귀포시 남성중로 2-15(서홍동),,환경부(한국자동차환경협회),1661-9408,33.2447447,126.5597544,2019-06-30
"서귀포시장애인종합사회복지관",주차장,제주특별자치도,연중무휴,00:00,23:59,N,Y,AC3상+DC차데모 +DC콤보,0,1,N,제주특별자치도 서귀포시 인정오름로 24,,제주특별자치도,1899-8852,33.2869372,126.5846411,2019-06-30
"영천동주민센터",주차장,제주특별자치도,연중무휴,00:00,23:59,Y,N,,1,0,N,제주특별자치도 서귀포시 토평로 15,,제주특별자치도,1899-8852,33.2687729,126.5867363,2019-06-30
"영천동주민센터",주차장,제주특별자치도,연중무휴,00:00,23:59,N,Y,AC3상+DC차데모 +DC콤보,0,1,N,제주특별자치도 서귀포시 토평로 15,,환경부(한국자동차환경협회),1661-9408,33.2687729,126.5867363,2019-06-30
"예래동주민센터",주차장,제주특별자치도,연중무휴,00:00,23:59,Y,N,,1,0,N,제주특별자치도 서귀포시 예래로 82(상예동),,제주특별자치도,1899-8852,33.2542814,126.3979513,2019-06-30
"예래동주민센터",주차장,제주특별자치도,연중무휴,00:00,23:59,N,Y,AC3상+DC차데모 +DC콤보,0,1,N,제주특별자치도 서귀포시 예래로 82(상예동),,한국전력,1899-2100,33.2542814,126.3979513,2019-06-30
"정방동문화의집",주차장,제주특별자치도,연중무휴,00:00,23:59,N,Y,AC3상+DC차데모 +DC콤보,0,1,N,제주특별자치도 서귀포시 동부로12번길 11,,제주특별자치도,1899-8852,33.2465421,126.5703477,2019-06-30
"구)중문동주민센터",주차장,제주특별자치도,연중무휴,00:00,23:59,Y,N,,1,0,N,제주특별자치도 서귀포시 천제연로 281(중문동),,제주특별자치도,1899-8852,33.2514374,126.4348664,2019-06-30
"색달쓰레기매립장",주차장,제주특별자치도,연중무휴,00:00,23:59,Y,N,,1,0,N,제주특별자치도 서귀포시 산록남로1241번길 145(색달동),,제주특별자치도,1899-8852,33.3070418,126.419081,2019-06-30
"색달쓰레기매립장",주차장,제주특별자치도,연중무휴,00:00,23:59,N,Y,AC3상+DC차데모 +DC콤보,0,2,N,제주특별자치도 서귀포시 산록남로1241번길 145(색달동),,환경부(한국자동차환경협회),1661-9408,33.3070418,126.419081,2019-06-30
"색달하수처리장",주차장,제주특별자치도,연중무휴,00:00,23:59,Y,N,,1,0,N,제주특별자치도 서귀포시 예래해안로 348(색달동),,제주특별자치도,1899-8852,33.2421105,126.3963773,2019-06-30
"서귀포자연휴양림",주차장,제주특별자치도,연중무휴,00:00,23:59,Y,N,,4,0,N,제주특별자치도 서귀포시 대포동 1100로 882,제주특별자치도 서귀포시 대포동 산1-1,제주특별자치도,1899-8852,33.3116678,126.4587607,2019-06-30
"자광원",주차장,제주특별자치도,연중무휴,00:00,23:59,N,Y,AC3상+DC차데모 +DC콤보,0,1,N,제주특별자치도 서귀포시 이어도로 343번길 101(대포동),,제주특별자치도,1899-8852,33.2477147,126.4485341,2019-06-30
"중문동주민센터",주차장,제주특별자치도,연중무휴,00:00,23:59,N,Y,AC3상+DC차데모 +DC콤보,0,1,N,제주특별자치도 서귀포시 1100로 30,,제주특별자치도,1899-8852,33.25333129,126.4336393,2019-06-30
"중문보건지소",주차장,제주특별자치도,연중무휴,00:00,23:59,Y,N,,1,0,N,제주특별자치도 서귀포시 천제연로 147(중문동),,제주특별자치도,1899-8852,33.2535153,126.4208709,2019-06-30
"중앙공영주차장",주차장,제주특별자치도,연중무휴,00:00,23:59,N,Y,AC3상+DC차데모 +DC콤보,0,2,Y,제주특별자치도 서귀포시 서귀동 291-63,제주특별자치도 서귀포시 서귀동 291-63,제주특별자치도,1899-8852,33.2499207,126.5599672,2019-06-30
"중앙공영주차장",주차장,제주특별자치도,연중무휴,00:00,23:59,N,Y,AC3상+DC차데모 +DC콤보,0,3,Y,제주특별자치도 서귀포시 서귀동 291-63,제주특별자치도 서귀포시 서귀동 291-63,환경부(한국자동차환경협회),1661-9408,33.2499207,126.5599672,2019-06-30
"중앙동주민센터",주차장,제주특별자치도,연중무휴,00:00,23:59,Y,N,,2,0,N,제주특별자치도 서귀포시 동문로 39(서귀동),,제주특별자치도,1899-8852,33.2506359,126.5649933,2019-06-30
"천지동주민센터",주차장,제주특별자치도,연중무휴,00:00,23:59,Y,N,,1,0,N,제주특별자치도 서귀포시 중정로47번길 3,,제주특별자치도,1899-8852,33.2477954,126.5612849,2019-06-30
"평생학습관 주차장",주차장,제주특별자치도,연중무휴,00:00,23:59,Y,N,,1,0,N,제주특별자치도 서귀포시 서문로29번길 10(서귀동),,제주특별자치도,1899-8852,33.2493458,126.5589224,2019-06-30
"효돈119센터",주차장,제주특별자치도,연중무휴,00:00,23:59,Y,N,,1,0,N,제주특별자치도 서귀포시 일주동로 8234(신효동),,제주특별자치도,1899-8852,33.260795,126.6078006,2019-06-30
"효돈동주민센터",주차장,제주특별자치도,연중무휴,00:00,23:59,Y,N,,1,0,N,제주특별자치도 서귀포시 효돈로152번길 7,,제주특별자치도,1899-8852,33.2633204,126.6156251,2019-06-30
"효돈동주민센터",주차장,제주특별자치도,연중무휴,00:00,23:59,N,Y,AC3상+DC차데모 +DC콤보,0,1,N,제주특별자치도 서귀포시 효돈로152번길 7,,환경부(한국자동차환경협회),1661-9408,33.2633204,126.6156251,2019-06-30
"효돈축구공원",주차장,제주특별자치도,연중무휴,00:00,23:59,N,Y,AC3상+DC차데모 +DC콤보,0,2,N,제주특별자치도 서귀포시 효돈순화로 311-29,제주특별자치도 서귀포시 신효동 910,제주특별자치도,1899-8852,33.2583809,126.6103677772,2019-06-30
"남원생활체육관",주차장,제주특별자치도,연중무휴,00:00,23:59,N,Y,AC3상+DC차데모 +DC콤보,0,1,N,제주특별자치도 서귀포시 남원읍 태위로 551-28,,제주특별자치도,1899-8852,33.27810723,126.705244,2019-06-30
"남원생활체육관",주차장,제주특별자치도,연중무휴,00:00,23:59,N,Y,AC3상+DC차데모 +DC콤보,0,2,N,제주특별자치도 서귀포시 남원읍 태위로 551-28,,제주특별자치도,1899-8852,33.27810723,126.705244,2019-06-30
"남원읍사무소",주차장,제주특별자치도,연중무휴,00:00,23:59,Y,Y,AC3상+DC차데모 +DC콤보,2,1,N,제주특별자치도 서귀포시 남원읍 태위로 695,,제주특별자치도,1899-8852,33.2797843,126.7205951,2019-06-30
"동부보건소",주차장,제주특별자치도,연중무휴,00:00,23:59,Y,N,,6,0,N,제주특별자치도 서귀포시 남원읍 태위로 527,,제주특별자치도,1899-8852,33.2757617,126.7034172,2019-06-30
"동부보건소",주차장,제주특별자치도,연중무휴,00:00,23:59,N,Y,AC3상+DC차데모 +DC콤보,0,1,N,제주특별자치도 서귀포시 남원읍 태위로 527,,환경부(한국자동차환경협회),1661-9408,33.2757617,126.7034172,2019-06-30
"서귀포농업기술센터",주차장,제주특별자치도,연중무휴,00:00,23:59,Y,N,,3,0,N,제주특별자치도 서귀포시 남원읍 중산간동로 7413,,제주특별자치도,1899-8852,33.28833481,126.6072502,2019-06-30
"서귀포농업기술센터",주차장,제주특별자치도,연중무휴,00:00,23:59,N,Y,AC3상+DC차데모 +DC콤보,0,3,N,제주특별자치도 서귀포시 남원읍 중산간동로 7413,,환경부(한국자동차환경협회),1661-9408,33.28833481,126.6072502,2019-06-30
"제주공천포전지훈련센터",주차장,제주특별자치도,연중무휴,00:00,23:59,N,Y,AC3상+DC차데모 +DC콤보,0,2,N,제주특별자치도 서귀포시 남원읍 신례로 96,,제주특별자치도,1899-8852,33.2771177,126.6413556,2019-06-30
"가파도 마을회관",주차장,제주특별자치도,연중무휴,00:00,23:59,Y,N,,1,0,N,제주특별자치도 서귀포시 대정읍 가파로 73,,제주특별자치도,1899-8852,33.1664333,126.2736156,2019-06-30
"대정 영어교육도시",주차장,제주특별자치도,연중무휴,00:00,23:59,Y,N,,1,0,N,제주특별자치도 서귀포시 대정읍 에듀시티로 86,,제주특별자치도,1899-8852,33.28794082,126.2818294,2019-06-30
"대정 영어교육도시",주차장,제주특별자치도,연중무휴,00:00,23:59,N,Y,AC3상+DC차데모 +DC콤보,0,2,N,제주특별자치도 서귀포시 대정읍 에듀시티로 86,,환경부(한국자동차환경협회),1661-9408,33.28794082,126.2818294,2019-06-30
