LINK_ID,F_NODE,T_NODE,LANE_,ROAD_RANK,ROAD_TYPE,ROAD_NO_,ROAD_NAME_,ROAD_USE_,MULTILINK,CONNECT_,MAX_SPD_,REST_VEH,REST_W_,REST_H_,LENGTH,REMARK_
1,1,2,,,,,,,,,120,,,,3033,
2,2,3,,,,,,,,,120,,,,3522,
3,3,4,,,,,,,,,120,,,,3438,
4,4,5,,,,,,,,,120,,,,3883,
5,5,6,,,,,,,,,120,,,,3896,
6,1,7,,,,,,,,,120,,,,2993,
7,2,8,,,,,,,,,80,,,,3078,
8,9,3,,,,,,,,,80,,,,2837,
9,10,4,,,,,,,,,80,,,,2835,
10,11,5,,,,,,,,,80,,,,2976,
11,12,6,,,,,,,,,120,,,,3021,
12,13,7,,,,,,,,,120,,,,3104,
13,14,8,,,,,,,,,80,,,,3046,
14,15,9,,,,,,,,,60,,,,3084,
15,16,10,,,,,,,,,60,,,,3126,
16,7,8,,,,,,,,,80,,,,3207,
17,8,9,,,,,,,,,80,,,,3565,
18,9,10,,,,,,,,,80,,,,3348,
19,10,11,,,,,,,,,80,,,,3883,
20,11,12,,,,,,,,,80,,,,3805,
21,16,11,,,,,,,,,60,,,,5008,
22,20,12,,,,,,,,,80,,,,9640,
23,21,12,,,,,,,,,80,,,,6820,
24,22,12,,,,,,,,,120,,,,5458,
25,13,14,,,,,,,,,80,,,,3158,
26,14,15,,,,,,,,,60,,,,3557,
27,15,16,,,,,,,,,60,,,,3562,
28,17,13,,,,,,,,,120,,,,2653,
29,18,14,,,,,,,,,80,,,,2744,
30,19,15,,,,,,,,,60,,,,2667,
31,20,16,,,,,,,,,60,,,,2502,
32,17,18,,,,,,,,,80,,,,3385,
33,18,19,,,,,,,,,60,,,,3447,
34,19,20,,,,,,,,,60,,,,3637,
35,20,21,,,,,,,,,60,,,,3778,
36,21,22,,,,,,,,,80,,,,3615,
37,23,24,,,,,,,,,80,,,,3523,
38,24,25,,,,,,,,,80,,,,3348,
39,25,26,,,,,,,,,80,,,,3449,
40,26,27,,,,,,,,,80,,,,3855,
41,27,28,,,,,,,,,80,,,,3600,
42,28,22,,,,,,,,,120,,,,2920,
43,27,21,,,,,,,,,80,,,,2923,
44,26,20,,,,,,,,,60,,,,2760,
45,25,19,,,,,,,,,60,,,,2587,
46,25,20,,,,,,,,,60,,,,4653,
47,30,25,,,,,,,,,80,,,,4059,
48,23,19,,,,,,,,,80,,,,7316,
49,23,17,,,,,,,,,120,,,,2728,
50,29,23,,,,,,,,,120,,,,2579,
51,29,30,,,,,,,,,120,,,,3776,
52,30,31,,,,,,,,,120,,,,3312,
53,31,32,,,,,,,,,120,,,,3526,
54,32,33,,,,,,,,,120,,,,3989,
55,33,34,,,,,,,,,120,,,,3370,
56,34,28,,,,,,,,,120,,,,2768,
57,33,27,,,,,,,,,80,,,,2467,
58,32,26,,,,,,,,,80,,,,2527,
59,31,25,,,,,,,,,80,,,,2446,
60,30,24,,,,,,,,,80,,,,2527,
61,2,1,,,,,,,,,120,,,,3033,
62,3,2,,,,,,,,,120,,,,3522,
63,4,3,,,,,,,,,120,,,,3438,
64,5,4,,,,,,,,,120,,,,3883,
65,6,5,,,,,,,,,120,,,,3896,
66,7,1,,,,,,,,,120,,,,2993,
67,8,2,,,,,,,,,80,,,,3078,
68,3,9,,,,,,,,,80,,,,2837,
69,4,10,,,,,,,,,80,,,,2835,
70,5,11,,,,,,,,,80,,,,2976,
71,6,12,,,,,,,,,120,,,,3021,
72,7,13,,,,,,,,,120,,,,3104,
73,8,14,,,,,,,,,80,,,,3046,
74,9,15,,,,,,,,,60,,,,3084,
75,10,16,,,,,,,,,60,,,,3126,
76,8,7,,,,,,,,,80,,,,3207,
77,9,8,,,,,,,,,80,,,,3565,
78,10,9,,,,,,,,,80,,,,3348,
79,11,10,,,,,,,,,80,,,,3883,
80,12,11,,,,,,,,,80,,,,3805,
81,11,16,,,,,,,,,60,,,,5008,
82,12,20,,,,,,,,,80,,,,9640,
83,12,21,,,,,,,,,80,,,,6820,
84,12,22,,,,,,,,,120,,,,5458,
85,14,13,,,,,,,,,80,,,,3158,
86,15,14,,,,,,,,,60,,,,3557,
87,16,15,,,,,,,,,60,,,,3562,
88,13,17,,,,,,,,,120,,,,2653,
89,14,18,,,,,,,,,80,,,,2744,
90,15,19,,,,,,,,,60,,,,2667,
91,16,20,,,,,,,,,60,,,,2502,
92,18,17,,,,,,,,,80,,,,3385,
93,19,18,,,,,,,,,60,,,,3447,
94,20,19,,,,,,,,,60,,,,3637,
95,21,20,,,,,,,,,60,,,,3778,
96,22,21,,,,,,,,,80,,,,3615,
97,24,23,,,,,,,,,80,,,,3523,
98,25,24,,,,,,,,,80,,,,3348,
99,26,25,,,,,,,,,80,,,,3449,
100,27,26,,,,,,,,,80,,,,3855,
101,28,27,,,,,,,,,80,,,,3600,
102,22,28,,,,,,,,,120,,,,2920,
103,21,27,,,,,,,,,80,,,,2923,
104,20,26,,,,,,,,,60,,,,2760,
105,19,25,,,,,,,,,60,,,,2587,
106,20,25,,,,,,,,,60,,,,4653,
107,25,30,,,,,,,,,80,,,,4059,
108,19,23,,,,,,,,,80,,,,7316,
109,17,23,,,,,,,,,120,,,,2728,
110,23,29,,,,,,,,,120,,,,2579,
111,30,29,,,,,,,,,120,,,,3776,
112,31,30,,,,,,,,,120,,,,3312,
113,32,31,,,,,,,,,120,,,,3526,
114,33,32,,,,,,,,,120,,,,3989,
115,34,33,,,,,,,,,120,,,,3370,
116,28,34,,,,,,,,,120,,,,2768,
117,27,33,,,,,,,,,80,,,,2467,
118,26,32,,,,,,,,,80,,,,2527,
119,25,31,,,,,,,,,80,,,,2446,
120,24,30,,,,,,,,,80,,,,2527,
