LINK_ID,F_NODE,T_NODE,LANES_,ROAD_RANK_,ROAD_TYPE_,ROAD_NO_,ROAD_NAME_,ROAD_USE_,MULTILINK,CONNECT_,MAX_SPD_,REST_VEH_,REST_W_,REST_H_,LENGTH,REMARK_
0,0,10,LANES_,ROAD_RANK_,1,ROAD_NO_,ROAD_NAME_,ROAD_USE_,MULTILINK,CONNECT_,80,REST_VEH_,REST_W_,REST_H_,2000,REMARK_
1,0,1,LANES_,ROAD_RANK_,1,ROAD_NO_,ROAD_NAME_,ROAD_USE_,MULTILINK,CONNECT_,80,REST_VEH_,REST_W_,REST_H_,2000,REMARK_
2,1,0,LANES_,ROAD_RANK_,1,ROAD_NO_,ROAD_NAME_,ROAD_USE_,MULTILINK,CONNECT_,80,REST_VEH_,REST_W_,REST_H_,2000,REMARK_
3,1,11,LANES_,ROAD_RANK_,1,ROAD_NO_,ROAD_NAME_,ROAD_USE_,MULTILINK,CONNECT_,80,REST_VEH_,REST_W_,REST_H_,2000,REMARK_
4,1,2,LANES_,ROAD_RANK_,1,ROAD_NO_,ROAD_NAME_,ROAD_USE_,MULTILINK,CONNECT_,80,REST_VEH_,REST_W_,REST_H_,2000,REMARK_
5,2,1,LANES_,ROAD_RANK_,1,ROAD_NO_,ROAD_NAME_,ROAD_USE_,MULTILINK,CONNECT_,80,REST_VEH_,REST_W_,REST_H_,2000,REMARK_
6,2,12,LANES_,ROAD_RANK_,1,ROAD_NO_,ROAD_NAME_,ROAD_USE_,MULTILINK,CONNECT_,80,REST_VEH_,REST_W_,REST_H_,2000,REMARK_
7,2,3,LANES_,ROAD_RANK_,1,ROAD_NO_,ROAD_NAME_,ROAD_USE_,MULTILINK,CONNECT_,80,REST_VEH_,REST_W_,REST_H_,2000,REMARK_
8,3,2,LANES_,ROAD_RANK_,1,ROAD_NO_,ROAD_NAME_,ROAD_USE_,MULTILINK,CONNECT_,80,REST_VEH_,REST_W_,REST_H_,2000,REMARK_
9,3,13,LANES_,ROAD_RANK_,1,ROAD_NO_,ROAD_NAME_,ROAD_USE_,MULTILINK,CONNECT_,80,REST_VEH_,REST_W_,REST_H_,2000,REMARK_
10,3,4,LANES_,ROAD_RANK_,1,ROAD_NO_,ROAD_NAME_,ROAD_USE_,MULTILINK,CONNECT_,80,REST_VEH_,REST_W_,REST_H_,2000,REMARK_
11,4,3,LANES_,ROAD_RANK_,1,ROAD_NO_,ROAD_NAME_,ROAD_USE_,MULTILINK,CONNECT_,80,REST_VEH_,REST_W_,REST_H_,2000,REMARK_
12,4,14,LANES_,ROAD_RANK_,1,ROAD_NO_,ROAD_NAME_,ROAD_USE_,MULTILINK,CONNECT_,80,REST_VEH_,REST_W_,REST_H_,2000,REMARK_
13,4,5,LANES_,ROAD_RANK_,1,ROAD_NO_,ROAD_NAME_,ROAD_USE_,MULTILINK,CONNECT_,80,REST_VEH_,REST_W_,REST_H_,2000,REMARK_
14,5,4,LANES_,ROAD_RANK_,1,ROAD_NO_,ROAD_NAME_,ROAD_USE_,MULTILINK,CONNECT_,80,REST_VEH_,REST_W_,REST_H_,2000,REMARK_
15,5,15,LANES_,ROAD_RANK_,1,ROAD_NO_,ROAD_NAME_,ROAD_USE_,MULTILINK,CONNECT_,80,REST_VEH_,REST_W_,REST_H_,2000,REMARK_
16,5,6,LANES_,ROAD_RANK_,1,ROAD_NO_,ROAD_NAME_,ROAD_USE_,MULTILINK,CONNECT_,80,REST_VEH_,REST_W_,REST_H_,2000,REMARK_
17,6,5,LANES_,ROAD_RANK_,1,ROAD_NO_,ROAD_NAME_,ROAD_USE_,MULTILINK,CONNECT_,80,REST_VEH_,REST_W_,REST_H_,2000,REMARK_
18,6,16,LANES_,ROAD_RANK_,1,ROAD_NO_,ROAD_NAME_,ROAD_USE_,MULTILINK,CONNECT_,80,REST_VEH_,REST_W_,REST_H_,2000,REMARK_
19,6,7,LANES_,ROAD_RANK_,1,ROAD_NO_,ROAD_NAME_,ROAD_USE_,MULTILINK,CONNECT_,80,REST_VEH_,REST_W_,REST_H_,2000,REMARK_
20,7,6,LANES_,ROAD_RANK_,1,ROAD_NO_,ROAD_NAME_,ROAD_USE_,MULTILINK,CONNECT_,80,REST_VEH_,REST_W_,REST_H_,2000,REMARK_
21,7,17,LANES_,ROAD_RANK_,1,ROAD_NO_,ROAD_NAME_,ROAD_USE_,MULTILINK,CONNECT_,80,REST_VEH_,REST_W_,REST_H_,2000,REMARK_
22,7,8,LANES_,ROAD_RANK_,1,ROAD_NO_,ROAD_NAME_,ROAD_USE_,MULTILINK,CONNECT_,80,REST_VEH_,REST_W_,REST_H_,2000,REMARK_
23,8,7,LANES_,ROAD_RANK_,1,ROAD_NO_,ROAD_NAME_,ROAD_USE_,MULTILINK,CONNECT_,80,REST_VEH_,REST_W_,REST_H_,2000,REMARK_
24,8,18,LANES_,ROAD_RANK_,1,ROAD_NO_,ROAD_NAME_,ROAD_USE_,MULTILINK,CONNECT_,80,REST_VEH_,REST_W_,REST_H_,2000,REMARK_
25,8,9,LANES_,ROAD_RANK_,1,ROAD_NO_,ROAD_NAME_,ROAD_USE_,MULTILINK,CONNECT_,80,REST_VEH_,REST_W_,REST_H_,2000,REMARK_
26,9,8,LANES_,ROAD_RANK_,1,ROAD_NO_,ROAD_NAME_,ROAD_USE_,MULTILINK,CONNECT_,80,REST_VEH_,REST_W_,REST_H_,2000,REMARK_
27,9,19,LANES_,ROAD_RANK_,1,ROAD_NO_,ROAD_NAME_,ROAD_USE_,MULTILINK,CONNECT_,80,REST_VEH_,REST_W_,REST_H_,2000,REMARK_
28,10,0,LANES_,ROAD_RANK_,1,ROAD_NO_,ROAD_NAME_,ROAD_USE_,MULTILINK,CONNECT_,80,REST_VEH_,REST_W_,REST_H_,2000,REMARK_
