LINK_ID,F_NODE,T_NODE,LANES_,ROAD_RANK_,ROAD_TYPE_,ROAD_NO_,ROAD_NAME_,ROAD_USE_,MULTILINK,CONNECT_,MAX_SPD_,REST_VEH_,REST_W_,REST_H_,LENGTH,REMARK_
1,1,2,LANES_,ROAD_RANK_,1,ROAD_NO_,ROAD_NAME_,ROAD_USE_,MULTILINK,CONNECT_,120,REST_VEH_,REST_W_,REST_H_,7500,REMARK_
2,2,1,LANES_,ROAD_RANK_,1,ROAD_NO_,ROAD_NAME_,ROAD_USE_,MULTILINK,CONNECT_,120,REST_VEH_,REST_W_,REST_H_,7500,REMARK_
3,1,3,LANES_,ROAD_RANK_,1,ROAD_NO_,ROAD_NAME_,ROAD_USE_,MULTILINK,CONNECT_,120,REST_VEH_,REST_W_,REST_H_,9000,REMARK_
4,3,1,LANES_,ROAD_RANK_,1,ROAD_NO_,ROAD_NAME_,ROAD_USE_,MULTILINK,CONNECT_,120,REST_VEH_,REST_W_,REST_H_,9000,REMARK_
5,2,3,LANES_,ROAD_RANK_,1,ROAD_NO_,ROAD_NAME_,ROAD_USE_,MULTILINK,CONNECT_,80,REST_VEH_,REST_W_,REST_H_,7500,REMARK_
6,3,2,LANES_,ROAD_RANK_,1,ROAD_NO_,ROAD_NAME_,ROAD_USE_,MULTILINK,CONNECT_,80,REST_VEH_,REST_W_,REST_H_,7500,REMARK_
7,2,4,LANES_,ROAD_RANK_,1,ROAD_NO_,ROAD_NAME_,ROAD_USE_,MULTILINK,CONNECT_,120,REST_VEH_,REST_W_,REST_H_,4500,REMARK_
8,4,2,LANES_,ROAD_RANK_,1,ROAD_NO_,ROAD_NAME_,ROAD_USE_,MULTILINK,CONNECT_,120,REST_VEH_,REST_W_,REST_H_,4500,REMARK_
9,3,5,LANES_,ROAD_RANK_,1,ROAD_NO_,ROAD_NAME_,ROAD_USE_,MULTILINK,CONNECT_,120,REST_VEH_,REST_W_,REST_H_,15000,REMARK_
10,5,3,LANES_,ROAD_RANK_,1,ROAD_NO_,ROAD_NAME_,ROAD_USE_,MULTILINK,CONNECT_,120,REST_VEH_,REST_W_,REST_H_,15000,REMARK_
11,4,5,LANES_,ROAD_RANK_,1,ROAD_NO_,ROAD_NAME_,ROAD_USE_,MULTILINK,CONNECT_,120,REST_VEH_,REST_W_,REST_H_,7500,REMARK_
12,5,4,LANES_,ROAD_RANK_,1,ROAD_NO_,ROAD_NAME_,ROAD_USE_,MULTILINK,CONNECT_,120,REST_VEH_,REST_W_,REST_H_,7500,REMARK_
13,4,6,LANES_,ROAD_RANK_,1,ROAD_NO_,ROAD_NAME_,ROAD_USE_,MULTILINK,CONNECT_,120,REST_VEH_,REST_W_,REST_H_,6300,REMARK_
14,6,4,LANES_,ROAD_RANK_,1,ROAD_NO_,ROAD_NAME_,ROAD_USE_,MULTILINK,CONNECT_,120,REST_VEH_,REST_W_,REST_H_,6300,REMARK_
15,5,6,LANES_,ROAD_RANK_,1,ROAD_NO_,ROAD_NAME_,ROAD_USE_,MULTILINK,CONNECT_,120,REST_VEH_,REST_W_,REST_H_,12000,REMARK_
16,6,5,LANES_,ROAD_RANK_,2,ROAD_NO_,ROAD_NAME_,ROAD_USE_,MULTILINK,CONNECT_,120,REST_VEH_,REST_W_,REST_H_,12000,REMARK_
