LINK_ID,F_NODE,T_NODE,MAX_SPD,LENGTH,CUR_SPD,WEIGHT
0,205,207,40.0,0.3505582,0.0,350.5582
1,207,203,40.0,3.1330222,0.0,3133.0222
2,203,202,40.0,0.2093764,0.0,209.3764
3,207,205,40.0,0.339711,0.0,339.711
4,203,207,40.0,3.1139836,0.0,3113.9836
5,202,203,40.0,0.2094192,0.0,209.4192
6,211,210,60.0,0.13799789999999998,0.0,137.9979
7,206,204,60.0,2.7854560999999998,0.0,2785.4561
8,205,206,60.0,0.186482,0.0,186.482
9,204,206,60.0,2.7805438,0.0,2780.5438
10,206,205,60.0,0.17416820000000002,0.0,174.1682
11,216,208,60.0,0.19031530000000002,0.0,190.3153
12,208,205,60.0,0.9099316,0.0,909.9316
13,205,208,60.0,0.9163602,0.0,916.3602
14,208,216,60.0,0.1927766,0.0,192.7766
15,209,210,60.0,0.6349792,0.0,634.9792
16,210,211,60.0,0.12910169999999999,0.0,129.1017
17,217,214,60.0,0.9993253,0.0,999.3253
18,214,215,60.0,1.7797774,0.0,1779.7774
19,215,526,60.0,0.6799904999999999,0.0,679.9905
20,526,215,60.0,0.6807972999999999,0.0,680.7973
21,215,214,60.0,1.7783891,0.0,1778.3891
22,214,217,60.0,1.0036886,0.0,1003.6886
23,526,216,60.0,0.40292989999999995,0.0,402.9299
24,216,526,60.0,0.4132306,0.0,413.2306
25,210,209,60.0,0.6244031999999999,0.0,624.4032
26,530,217,60.0,3.3191571,0.0,3319.1571
27,582,584,50.0,0.0946003,0.0,94.6003
28,553,561,50.0,0.1295437,0.0,129.5437
29,561,553,50.0,0.11932999999999999,0.0,119.33
30,549,218,60.0,0.658344,0.0,658.344
31,531,217,50.0,0.5678895,0.0,567.8895
32,535,213,50.0,2.9070848999999996,0.0,2907.0849
33,213,212,50.0,0.32798930000000004,0.0,327.9893
34,212,213,50.0,0.2466971,0.0,246.6971
35,217,530,60.0,3.3262757,0.0,3326.2757
36,546,545,60.0,0.1763225,0.0,176.3225
37,217,531,50.0,0.5709784,0.0,570.9784
38,532,530,60.0,0.5595901999999999,0.0,559.5902
39,209,212,50.0,1.9054228,0.0,1905.4228
40,213,212,50.0,0.2509922,0.0,250.9922
41,547,546,60.0,0.2801635,0.0,280.1635
42,1404,1405,60.0,0.2378236,0.0,237.8236
43,530,532,60.0,0.5772127,0.0,577.2127
44,213,535,50.0,2.9159183,0.0,2915.9183
45,212,213,50.0,0.3077919,0.0,307.7919
46,574,572,70.0,0.2596649,0.0,259.6649
47,212,209,50.0,1.8911485000000001,0.0,1891.1485
48,533,532,60.0,0.38577839999999997,0.0,385.7784
49,532,533,60.0,0.38693740000000004,0.0,386.9374
50,550,551,50.0,0.16982409999999998,0.0,169.8241
51,551,528,60.0,1.1260447,0.0,1126.0447
52,528,527,60.0,1.0399116,0.0,1039.9116
53,527,526,60.0,0.5436807,0.0,543.6807
54,551,550,50.0,0.1715108,0.0,171.5108
55,543,534,60.0,0.4341494,0.0,434.1494
56,528,551,60.0,1.1205767,0.0,1120.5767
57,527,528,60.0,1.0370002,0.0,1037.0002
58,526,527,60.0,0.550821,0.0,550.821
59,534,533,60.0,0.5221165,0.0,522.1165
60,533,534,60.0,0.5015144,0.0,501.5144
61,534,533,60.0,0.4810513,0.0,481.0513
62,533,534,60.0,0.4820576,0.0,482.0576
63,232,1395,60.0,0.1924821,0.0,192.4821
64,536,535,50.0,1.7190806,0.0,1719.0806
65,545,544,60.0,0.3502244,0.0,350.2244
66,544,543,60.0,0.3350647,0.0,335.0647
67,544,545,60.0,0.34143049999999997,0.0,341.4305
68,543,544,60.0,0.335715,0.0,335.715
69,545,546,60.0,0.1839573,0.0,183.9573
70,546,547,60.0,0.2762842,0.0,276.2842
71,547,549,60.0,0.169756,0.0,169.756
72,218,549,60.0,0.6647402,0.0,664.7402
73,549,547,60.0,0.1742754,0.0,174.2754
74,552,550,50.0,0.8527069,0.0,852.7069
75,1387,552,60.0,1.1149406,0.0,1114.9406
76,233,1389,60.0,0.2153378,0.0,215.3378
77,1389,1387,60.0,0.4081151,0.0,408.1151
78,550,552,50.0,0.8528291,0.0,852.8291
79,552,1387,60.0,1.1150974,0.0,1115.0974
80,1387,1389,60.0,0.40556529999999996,0.0,405.5653
81,1389,233,60.0,0.2150339,0.0,215.0339
82,232,231,60.0,0.6273305,0.0,627.3305
83,1395,232,60.0,0.1915976,0.0,191.5976
84,218,1395,70.0,0.7793193,0.0,779.3193
85,231,232,60.0,0.6167418,0.0,616.7418
86,572,574,70.0,0.2593103,0.0,259.3103
87,1395,218,70.0,0.7752485,0.0,775.2485
88,222,221,70.0,0.2975655,0.0,297.5655
