LINK_ID,F_NODE,T_NODE,LANE_,ROAD_RANK,ROAD_TYPE,ROAD_NO_,ROAD_NAME_,ROAD_USE_,MULTILINK,CONNECT_,MAX_SPD_,REST_VEH,REST_W_,REST_H_,LENGTH,REMARK_
1,48,65,,,,,,,,,80,,,,569,
2,65,47,,,,,,,,,80,,,,1184,
3,48,45,,,,,,,,,80,,,,2104,
4,45,46,,,,,,,,,80,,,,964,
5,45,39,,,,,,,,,60,,,,2291,
6,39,40,,,,,,,,,60,,,,1673,
7,39,41,,,,,,,,,60,,,,1521,
8,41,11,,,,,,,,,60,,,,1185,
9,40,9,,,,,,,,,60,,,,599,
10,9,10,,,,,,,,,60,,,,471,
11,10,11,,,,,,,,,60,,,,876,
12,42,12,,,,,,,,,60,,,,1981,
13,12,42,,,,,,,,,60,,,,422,
14,42,14,,,,,,,,,60,,,,410,
15,12,14,,,,,,,,,60,,,,612,
16,11,12,,,,,,,,,60,,,,1467,
17,11,13,,,,,,,,,60,,,,1587,
18,13,42,,,,,,,,,60,,,,869,
19,11,35,,,,,,,,,60,,,,1135,
20,10,35,,,,,,,,,60,,,,1248,
21,35,36,,,,,,,,,60,,,,647,
22,13,43,,,,,,,,,60,,,,437,
23,46,9,,,,,,,,,80,,,,3551,
24,47,8,,,,,,,,,80,,,,3702,
25,8,9,,,,,,,,,80,,,,1746,
26,8,28,,,,,,,,,80,,,,2651,
27,35,28,,,,,,,,,80,,,,1382,
28,43,34,,,,,,,,,60,,,,2465,
29,28,29,,,,,,,,,80,,,,2624,
30,29,34,,,,,,,,,80,,,,704,
31,27,34,,,,,,,,,60,,,,1557,
32,43,27,,,,,,,,,60,,,,1783,
33,42,24,,,,,,,,,60,,,,2215,
34,14,17,,,,,,,,,60,,,,903,
35,14,15,,,,,,,,,60,,,,884,
36,15,16,,,,,,,,,40,,,,721,
37,16,17,,,,,,,,,40,,,,466,
38,16,18,,,,,,,,,40,,,,921,
39,18,62,,,,,,,,,40,,,,683,
40,16,62,,,,,,,,,40,,,,995,
41,19,20,,,,,,,,,60,,,,1104,
42,26,25,,,,,,,,,40,,,,1032,
43,21,26,,,,,,,,,40,,,,293,
44,21,22,,,,,,,,,40,,,,1106,
45,22,25,,,,,,,,,40,,,,828,
46,2,22,,,,,,,,,40,,,,771,
47,20,63,,,,,,,,,60,,,,641,
48,21,64,,,,,,,,,40,,,,795,
49,64,2,,,,,,,,,40,,,,942,
50,75,38,,,,,,,,,40,,,,657,
51,63,37,,,,,,,,,60,,,,1214,
52,38,37,,,,,,,,,60,,,,1013,
53,1,38,,,,,,,,,60,,,,933,
54,38,3,,,,,,,,,40,,,,801,
55,2,3,,,,,,,,,40,,,,515,
56,1,3,,,,,,,,,40,,,,840,
57,1,7,,,,,,,,,60,,,,968,
58,7,49,,,,,,,,,60,,,,1581,
59,1,32,,,,,,,,,60,,,,923,
60,60,32,,,,,,,,,60,,,,1311,
61,3,60,,,,,,,,,40,,,,848,
62,60,61,,,,,,,,,60,,,,992,
63,23,60,,,,,,,,,60,,,,1130,
64,22,23,,,,,,,,,40,,,,845,
65,23,24,,,,,,,,,60,,,,1370,
66,24,27,,,,,,,,,60,,,,1303,
67,77,27,,,,,,,,,60,,,,1999,
68,30,77,,,,,,,,,60,,,,588,
69,23,30,,,,,,,,,60,,,,1014,
70,4,30,,,,,,,,,60,,,,417,
71,30,61,,,,,,,,,60,,,,1059,
72,31,61,,,,,,,,,60,,,,1831,
73,32,31,,,,,,,,,60,,,,1025,
74,50,32,,,,,,,,,60,,,,1592,
75,49,50,,,,,,,,,60,,,,900,
76,51,49,,,,,,,,,80,,,,1413,
77,51,52,,,,,,,,,60,,,,711,
78,50,52,,,,,,,,,60,,,,1492,
79,31,52,,,,,,,,,60,,,,2466,
80,52,53,,,,,,,,,80,,,,1065,
81,51,53,,,,,,,,,80,,,,947,
82,31,33,,,,,,,,,80,,,,2771,
83,33,57,,,,,,,,,80,,,,606,
84,56,57,,,,,,,,,80,,,,3761,
85,33,58,,,,,,,,,80,,,,2801,
86,59,58,,,,,,,,,80,,,,1336,
87,6,59,,,,,,,,,80,,,,1551,
88,61,6,,,,,,,,,60,,,,2050,
89,4,5,,,,,,,,,60,,,,815,
90,5,6,,,,,,,,,60,,,,1949,
91,5,44,,,,,,,,,80,,,,1822,
92,29,44,,,,,,,,,80,,,,3426,
93,44,59,,,,,,,,,80,,,,2089,
94,56,55,,,,,,,,,80,,,,2317,
95,54,55,,,,,,,,,80,,,,3277,
96,76,54,,,,,,,,,80,,,,2752,
97,18,69,,,,,,,,,40,,,,387,
98,18,68,,,,,,,,,40,,,,357,
99,68,19,,,,,,,,,40,,,,559,
100,68,69,,,,,,,,,40,,,,153,
101,69,70,,,,,,,,,40,,,,283,
102,69,72,,,,,,,,,40,,,,509,
103,72,19,,,,,,,,,40,,,,394,
104,72,26,,,,,,,,,40,,,,380,
105,70,26,,,,,,,,,40,,,,339,
106,67,70,,,,,,,,,40,,,,533,
107,71,67,,,,,,,,,40,,,,492,
108,66,71,,,,,,,,,40,,,,474,
109,17,66,,,,,,,,,60,,,,868,
110,17,71,,,,,,,,,40,,,,618,
111,25,71,,,,,,,,,40,,,,715,
112,66,74,,,,,,,,,60,,,,726,
113,74,25,,,,,,,,,40,,,,593,
114,74,24,,,,,,,,,60,,,,262,
115,72,73,,,,,,,,,40,,,,525,
116,20,73,,,,,,,,,40,,,,400,
117,73,75,,,,,,,,,40,,,,687,
118,73,21,,,,,,,,,40,,,,418,
119,75,64,,,,,,,,,40,,,,175,
120,63,75,,,,,,,,,40,,,,385,
121,34,5,,,,,,,,,60,,,,3630,
122,40,41,,,,,,,,,60,,,,1745,
123,17,67,,,,,,,,,40,,,,809,
124,33,52,,,,,,,,,80,,,,2787,
125,76,56,,,,,,,,,80,,,,2639,
126,53,76,,,,,,,,,80,,,,1753,
127,36,43,,,,,,,,,60,,,,884,
128,65,48,,,,,,,,,80,,,,569,
129,47,65,,,,,,,,,80,,,,1184,
130,45,48,,,,,,,,,80,,,,2104,
131,46,45,,,,,,,,,80,,,,964,
132,39,45,,,,,,,,,60,,,,2291,
133,40,39,,,,,,,,,60,,,,1673,
134,41,39,,,,,,,,,60,,,,1521,
135,11,41,,,,,,,,,60,,,,1185,
136,9,40,,,,,,,,,60,,,,599,
137,10,9,,,,,,,,,60,,,,471,
138,11,10,,,,,,,,,60,,,,876,
139,12,42,,,,,,,,,60,,,,1981,
140,42,12,,,,,,,,,60,,,,422,
141,14,42,,,,,,,,,60,,,,410,
142,14,12,,,,,,,,,60,,,,612,
143,12,11,,,,,,,,,60,,,,1467,
144,13,11,,,,,,,,,60,,,,1587,
145,42,13,,,,,,,,,60,,,,869,
146,35,11,,,,,,,,,60,,,,1135,
147,35,10,,,,,,,,,60,,,,1248,
148,36,35,,,,,,,,,60,,,,647,
149,43,13,,,,,,,,,60,,,,437,
150,9,46,,,,,,,,,80,,,,3551,
151,8,47,,,,,,,,,80,,,,3702,
152,9,8,,,,,,,,,80,,,,1746,
153,28,8,,,,,,,,,80,,,,2651,
154,28,35,,,,,,,,,80,,,,1382,
155,34,43,,,,,,,,,60,,,,2465,
156,29,28,,,,,,,,,80,,,,2624,
157,34,29,,,,,,,,,80,,,,704,
158,34,27,,,,,,,,,60,,,,1557,
159,27,43,,,,,,,,,60,,,,1783,
160,24,42,,,,,,,,,60,,,,2215,
161,17,14,,,,,,,,,60,,,,903,
162,15,14,,,,,,,,,60,,,,884,
163,16,15,,,,,,,,,40,,,,721,
164,17,16,,,,,,,,,40,,,,466,
165,18,16,,,,,,,,,40,,,,921,
166,62,18,,,,,,,,,40,,,,683,
167,62,16,,,,,,,,,40,,,,995,
168,20,19,,,,,,,,,60,,,,1104,
169,25,26,,,,,,,,,40,,,,1032,
170,26,21,,,,,,,,,40,,,,293,
171,22,21,,,,,,,,,40,,,,1106,
172,25,22,,,,,,,,,40,,,,828,
173,22,2,,,,,,,,,40,,,,771,
174,63,20,,,,,,,,,60,,,,641,
175,64,21,,,,,,,,,40,,,,795,
176,2,64,,,,,,,,,40,,,,942,
177,38,75,,,,,,,,,40,,,,657,
178,37,63,,,,,,,,,60,,,,1214,
179,37,38,,,,,,,,,60,,,,1013,
180,38,1,,,,,,,,,60,,,,933,
181,3,38,,,,,,,,,40,,,,801,
182,3,2,,,,,,,,,40,,,,515,
183,3,1,,,,,,,,,40,,,,840,
184,7,1,,,,,,,,,60,,,,968,
185,49,7,,,,,,,,,60,,,,1581,
186,32,1,,,,,,,,,60,,,,923,
187,32,60,,,,,,,,,60,,,,1311,
188,60,3,,,,,,,,,40,,,,848,
189,61,60,,,,,,,,,60,,,,992,
190,60,23,,,,,,,,,60,,,,1130,
191,23,22,,,,,,,,,40,,,,845,
192,24,23,,,,,,,,,60,,,,1370,
193,27,24,,,,,,,,,60,,,,1303,
194,27,77,,,,,,,,,60,,,,1999,
195,77,30,,,,,,,,,60,,,,588,
196,30,23,,,,,,,,,60,,,,1014,
197,30,4,,,,,,,,,60,,,,417,
198,61,30,,,,,,,,,60,,,,1059,
199,61,31,,,,,,,,,60,,,,1831,
200,31,32,,,,,,,,,60,,,,1025,
201,32,50,,,,,,,,,60,,,,1592,
202,50,49,,,,,,,,,60,,,,900,
203,49,51,,,,,,,,,80,,,,1413,
204,52,51,,,,,,,,,60,,,,711,
205,52,50,,,,,,,,,60,,,,1492,
206,52,31,,,,,,,,,60,,,,2466,
207,53,52,,,,,,,,,80,,,,1065,
208,53,51,,,,,,,,,80,,,,947,
209,33,31,,,,,,,,,80,,,,2771,
210,57,33,,,,,,,,,80,,,,606,
211,57,56,,,,,,,,,80,,,,3761,
212,58,33,,,,,,,,,80,,,,2801,
213,58,59,,,,,,,,,80,,,,1336,
214,59,6,,,,,,,,,80,,,,1551,
215,6,61,,,,,,,,,60,,,,2050,
216,5,4,,,,,,,,,60,,,,815,
217,6,5,,,,,,,,,60,,,,1949,
218,44,5,,,,,,,,,80,,,,1822,
219,44,29,,,,,,,,,80,,,,3426,
220,59,44,,,,,,,,,80,,,,2089,
221,55,56,,,,,,,,,80,,,,2317,
222,55,54,,,,,,,,,80,,,,3277,
223,54,76,,,,,,,,,80,,,,2752,
224,69,18,,,,,,,,,40,,,,387,
225,68,18,,,,,,,,,40,,,,357,
226,19,68,,,,,,,,,40,,,,559,
227,69,68,,,,,,,,,40,,,,153,
228,70,69,,,,,,,,,40,,,,283,
229,72,69,,,,,,,,,40,,,,509,
230,19,72,,,,,,,,,40,,,,394,
231,26,72,,,,,,,,,40,,,,380,
232,26,70,,,,,,,,,40,,,,339,
233,70,67,,,,,,,,,40,,,,533,
234,67,71,,,,,,,,,40,,,,492,
235,71,66,,,,,,,,,40,,,,474,
236,66,17,,,,,,,,,60,,,,868,
237,71,17,,,,,,,,,40,,,,618,
238,71,25,,,,,,,,,40,,,,715,
239,74,66,,,,,,,,,60,,,,726,
240,25,74,,,,,,,,,40,,,,593,
241,24,74,,,,,,,,,60,,,,262,
242,73,72,,,,,,,,,40,,,,525,
243,73,20,,,,,,,,,40,,,,400,
244,75,73,,,,,,,,,40,,,,687,
245,21,73,,,,,,,,,40,,,,418,
246,64,75,,,,,,,,,40,,,,175,
247,75,63,,,,,,,,,40,,,,385,
248,5,34,,,,,,,,,60,,,,3630,
249,41,40,,,,,,,,,60,,,,1745,
250,67,17,,,,,,,,,40,,,,809,
251,52,33,,,,,,,,,80,,,,2787,
252,56,76,,,,,,,,,80,,,,2639,
253,76,53,,,,,,,,,80,,,,1753,
254,43,36,,,,,,,,,60,,,,884,
