NODE_ID,NODE_TYPE,NODE_NAME,TURN_P,REMARK,x,y
1,0,0,0,0,2.0,18.0
2,0,0,0,0,6.0,21.0
3,0,0,0,0,0.0,13.0
4,0,0,0,0,5.5,17.5
5,0,0,0,0,5.5,16.5
6,0,0,0,0,5.5,14.5
7,0,0,0,0,5.5,13.0
8,0,0,0,0,0.0,10.0
9,0,0,0,0,5.5,10.0
10,0,0,0,0,5.5,6.5
11,0,0,0,0,0.0,1.0
12,0,0,0,0,5.0,0.0
13,0,0,0,0,14.0,21.0
14,0,0,0,0,10.0,18.0
15,0,0,0,0,10.0,15.0
16,0,0,0,0,9.5,10.0
17,0,0,0,0,9.5,6.0
18,0,0,0,0,9.0,0.0
19,0,0,0,0,14.0,19.0
20,0,0,0,0,14.0,15.0
21,0,0,0,0,14.0,10.0
22,0,0,0,0,14.0,6.5
23,0,0,0,0,14.5,4.5
24,0,0,0,0,18.0,21.0
25,0,0,0,0,18.0,19.0
26,0,0,0,0,18.0,16.0
27,0,0,0,0,18.0,10.0
28,0,0,0,0,18.0,8.0
29,0,0,0,0,17.0,7.5
30,0,0,0,0,19.0,1.0
31,0,0,0,0,21.0,2.0
32,0,0,0,0,21.5,17.0
33,0,0,0,0,21.5,13.0
34,0,0,0,0,21.5,8.5
35,0,0,0,0,21.5,5.5
36,0,0,0,0,24.0,3.0
37,0,0,0,0,27.0,19.0
38,0,0,0,0,27.5,14.0
39,0,0,0,0,28.0,5.0
