NODE_ID,NODE_TYPE,NODE_NAME,lat,long,NODE_ID_OLD
0,101,도련이동2868-1,33.514,126.592,4050111500.0
1,101,도련이동2868-1,33.514,126.592,4050111600.0
2,102,도련이동702-2,33.514,126.593,4050111700.0
3,101,도련이동645-12,33.515,126.592,4050111800.0
4,101,도련이동2868-1,33.515,126.592,4050111900.0
5,101,도련이동2868-1,33.515,126.591,4050112000.0
6,101,도련이동2868-1,33.515,126.592,4050112100.0
7,101,회천동2557-6,33.506,126.601,4050112200.0
8,101,삼양일동1668-1,33.529,126.594,4050112300.0
9,101,삼양일동1018-3,33.53,126.594,4050112400.0
10,102,삼양일동900,33.532,126.593,4050112500.0
11,102,삼양일동2681-23,33.532,126.603,4050112600.0
12,102,조천리3462,33.53,126.651,4050112700.0
13,102,혹통교차로,33.527,126.651,4050112800.0
14,102,함덕리833-1,33.532,126.668,4050112900.0
15,102,함덕리828-3,33.529,126.668,4050113000.0
16,102,함덕리4139-21,33.54,126.667,4050113100.0
17,102,함덕리271-3,33.542,126.675,4050113200.0
18,101,함덕리250-7,33.544,126.675,4050113300.0
19,102,와산리1559-18,33.495,126.678,4050113400.0
20,102,북촌리1010-9,33.537,126.694,4050113500.0
21,102,북촌리941-15,33.536,126.697,4050113600.0
22,102,북촌리187-2,33.543,126.703,4050113700.0
23,102,북촌리210-1,33.545,126.701,4050113800.0
24,102,북촌리2688,33.55,126.693,4050113900.0
25,102,북촌리467-2,33.551,126.697,4050114000.0
26,102,김녕리6194,33.546,126.741,4050114100.0
27,103,속성변화점,33.558,126.755,4050114200.0
28,102,김녕리497-1,33.557,126.764,4050114300.0
29,102,평대리3344,33.489,126.801,4050114400.0
30,102,행원리3260,33.525,126.784,4050114500.0
31,101,고성리938,33.434,126.42,4050168500.0
32,101,고성리902-6,33.435,126.422,4050168600.0
33,103,속성변화점,33.434,126.422,4050168700.0
34,101,광령3교차로,33.462,126.424,4050168800.0
35,101,고성리914-6,33.437,126.424,4050168900.0
36,104,고성리914-6,33.437,126.424,4050169000.0
