NODE_ID,NODE_TYPE,NODE_NAME,TURN_P,REMARK,x,y
"4050111500","101",도련이동2868-1,"0",,126.592,33.514
"4050111600","101",도련이동2868-1,"0",,126.592,33.514
"4050111700","102",도련이동702-2,"0",,126.593,33.514
"4050111800","101",도련이동645-12,"0",,126.592,33.515
"4050111900","101",도련이동2868-1,"0",,126.592,33.515
"4050112000","101",도련이동2868-1,"0",,126.591,33.515
"4050112100","101",도련이동2868-1,"0",,126.592,33.515
"4050112200","101",회천동2557-6,"0",,126.601,33.506
"4050112300","101",삼양일동1668-1,"0",,126.594,33.529
"4050112400","101",삼양일동1018-3,"0",,126.594,33.530
"4050112500","102",삼양일동900,"0",,126.593,33.532
"4050112600","102",삼양일동2681-23,"0",,126.603,33.532
"4050112700","102",조천리3462,"0",,126.651,33.530
"4050112800","102",혹통교차로,"0",,126.651,33.527
"4050112900","102",함덕리833-1,"0",,126.668,33.532
"4050113000","102",함덕리828-3,"0",,126.668,33.529
"4050113100","102",함덕리4139-21,"0",,126.667,33.540
"4050113200","102",함덕리271-3,"0",,126.675,33.542
"4050113300","101",함덕리250-7,"0",,126.675,33.544
"4050113400","102",와산리1559-18,"0",,126.678,33.495
"4050113500","102",북촌리1010-9,"0",,126.694,33.537
"4050113600","102",북촌리941-15,"0",,126.697,33.536
"4050113700","102",북촌리187-2,"0",,126.703,33.543
"4050113800","102",북촌리210-1,"0",,126.701,33.545
"4050113900","102",북촌리2688,"0",,126.693,33.550
"4050114000","102",북촌리467-2,"0",,126.697,33.551
"4050114100","102",김녕리6194,"0",,126.741,33.546
"4050114200","103",속성변화점,"0",,126.755,33.558
"4050114300","102",김녕리497-1,"0",,126.764,33.557
"4050114400","102",평대리3344,"0",,126.801,33.489
"4050114500","102",행원리3260,"0",,126.784,33.525
"4050168500","101",고성리938,"0",,126.420,33.434
"4050168600","101",고성리902-6,"1",,126.422,33.435
"4050168700","103",속성변화점,"0",,126.422,33.434
"4050168800","101",광령3교차로,"1",,126.424,33.462
"4050168900","101",고성리914-6,"0",,126.424,33.437
"4050169000","104",고성리914-6,"0",,126.424,33.437
"4050169100","104",고성리914-6,"0",,126.424,33.437
"4050169200","101",광령회전교차로,"0",,126.424,33.459
"4050169300","101",고성리919-1,"0",,126.424,33.436
"4050169400","104",광삼교서측,"0",,126.424,33.473
"4050169500","104",광삼교동측,"0",,126.425,33.473
"4050169600","101",고성리151,"0",,126.426,33.438
"4050169700","103",속성변화점,"0",,126.427,33.438
"4050169800","104",제2고성교남측,"0",,126.427,33.439
"4050169900","104",제2고성교북측,"0",,126.427,33.439
"4050170000","101",광령리2854-3,"1",,126.428,33.440
"4050170100","101",광령2리사무소,"0",,126.429,33.450
"4050170200","101",광령4교차로,"1",,126.430,33.441
"4050170300","103",속성변화점,"0",,126.430,33.447
"4050170400","101",그림책방앞,"0",,126.430,33.446
"4050170500","102",원불교국제훈련원,"0",,126.430,33.428
"4050170600","101",광령리2289-2,"0",,126.431,33.459
"4050170700","101",광령4교차로,"0",,126.432,33.444
"4050170800","104",제6광령교남측,"0",,126.432,33.443
"4050170900","104",제6광령교북측,"0",,126.432,33.444
"4050171000","101",광령4교차로,"0",,126.432,33.443
"4050171100","101",광령4교차로,"1",,126.433,33.445
"4050171200","103",속성변화점,"0",,126.434,33.460
"4050201400","103",속성변화점,"0",,126.842,33.528
"4050201500","103",속성변화점,"0",,126.842,33.528
"4050201600","101",세화리3637,"0",,126.843,33.506
"4050201700","101",상도리산316-3,"0",,126.844,33.478
"4050201800","101",갓머리삼거리,"1",,126.851,33.524
"4050201900","101",구좌읍사무소,"1",,126.852,33.523
"4050202000","101",동부물류센타,"0",,126.853,33.524
"4050202100","101",하나로마트,"0",,126.854,33.525
"4050202200","102",제주해양경찰서세화출장소,"0",,126.854,33.528
"4050202300","102",구좌제일교회,"0",,126.854,33.527
"4050202400","101",세화우체국,"0",,126.854,33.524
"4050202500","101",모메존흑돼지,"0",,126.854,33.525
"4050202600","101",구좌제일교회,"0",,126.854,33.527
"4050202700","101",평대리3354,"0",,126.855,33.526
"4050202800","101",제주해양경찰서세화출장소,"0",,126.855,33.527
"4050202900","101",세화중학교,"1",,126.855,33.522
"4050203000","101",제주해양경찰서세화출장소,"0",,126.855,33.528
"4050203100","101",세화성은감리교회,"0",,126.855,33.526
"4050203200","101",세화성은교회,"0",,126.855,33.527
"4050203300","103",속성변화점,"0",,126.855,33.521
"4050203400","101",세화리사무소,"0",,126.856,33.528
"4050203500","101",세화리3637,"0",,126.856,33.519
"4050203600","101",세화리사무소,"0",,126.856,33.527
"4050203700","101",세화리사무소,"0",,126.856,33.527
"4050203800","101",구좌파출소,"0",,126.856,33.523
"4050203900","101",세화리교차로,"1",,126.857,33.521
"4050204000","101",조선소,"0",,126.857,33.527
"4050204100","102",세화포구,"0",,126.857,33.528
