NODE_ID,NODE_TYPE,NODE_NAME,TURN_P,REMARK,x,y
"1",,,,,"14087252","3963364"
"2",,,,,"14085958","3962398"
"3",,,,,"14086400","3962851"
"4",,,,,"14086707","3959844"
"5",,,,,"14086846","3958910"
"6",,,,,"14089003","3959042"
"7",,,,,"14088296","3963874"
"8",,,,,"14077075","3957302"
"9",,,,,"14078342","3958955"
"10",,,,,"14078809","3959277"
"11",,,,,"14079639","3959982"
"12",,,,,"14081057","3961033"
"13",,,,,"14081533","3959944"
"14",,,,,"14081570","3961523"
"15",,,,,"14081501","3962583"
"16",,,,,"14082363","3962419"
"17",,,,,"14082589","3961892"
"18",,,,,"14083085","3963044"
"19",,,,,"14083790","3963915"
"20",,,,,"14084679","3964101"
"21",,,,,"14084515","3963117"
"22",,,,,"14085162","3961961"
"23",,,,,"14085690","3961143"
"24",,,,,"14084149","3960792"
"25",,,,,"14084195","3961821"
"26",,,,,"14084165","3963055"
"27",,,,,"14083679","3959310"
"28",,,,,"14080259","3957016"
"29",,,,,"14083332","3956671"
"30",,,,,"14086462","3960234"
"31",,,,,"14089291","3962261"
"32",,,,,"14088206","3962849"
"33",,,,,"14092272","3960714"
"34",,,,,"14083473","3957495"
"35",,,,,"14080075","3958677"
"36",,,,,"14080858","3958689"
"37",,,,,"14086718","3964724"
"38",,,,,"14086224","3963785"
"39",,,,,"14076881","3961227"
"40",,,,,"14077834","3959445"
"41",,,,,"14078689","3961041"
"42",,,,,"14081560","3961029"
"43",,,,,"14081539","3959383"
"44",,,,,"14087423","3956878"
"45",,,,,"14074229","3960899"
"46",,,,,"14074204","3959740"
"47",,,,,"14072831","3958158"
"48",,,,,"14071989","3959888"
"49",,,,,"14090019","3964560"
"50",,,,,"14090099","3963483"
"51",,,,,"14091708","3964713"
"52",,,,,"14091815","3963849"
"53",,,,,"14092847","3964598"
"54",,,,,"14098039","3965544"
"55",,,,,"14098899","3961708"
"56",,,,,"14096183","3962495"
"57",,,,,"14092862","3960366"
"58",,,,,"14091264","3957941"
"59",,,,,"14089760","3957591"
"60",,,,,"14086818","3961939"
"61",,,,,"14087497","3960954"
"62",,,,,"14082303","3963186"
"63",,,,,"14085452","3964078"
"64",,,,,"14085428","3963419"
"65",,,,,"14072444","3959409"
"66",,,,,"14083311","3961285"
"67",,,,,"14083359","3962463"
"68",,,,,"14083409","3963378"
"69",,,,,"14083508","3963222"
"70",,,,,"14083756","3963012"
"71",,,,,"14083335","3961864"
"72",,,,,"14084056","3963525"
"73",,,,,"14084664","3963620"
"74",,,,,"14084117","3961101"
"75",,,,,"14085477","3963634"
"76",,,,,"14094776","3965183"
"77",,,,,"14085914","3959805"
